subject_id,predicate,predicateCN,object_id,weight
CDUT:ORG:00001,founded_on,创办于,CDUT:EVENT:00001,5
CDUT:ORG:00001,former_name,原名,CDUT:EVENT:00002,3
CDUT:ORG:00001,former_name,原名,CDUT:EVENT:00006,3
CDUT:ORG:00001,former_name,原名,CDUT:EVENT:00007,3
CDUT:PERSON:00001,holds_position,担任,CDUT:ORG:00001,4
CDUT:PERSON:00002,holds_position,担任,CDUT:ORG:00001,4
CDUT:PERSON:00003,holds_position,担任,CDUT:ORG:00001,4
CDUT:PERSON:00004,holds_position,担任,CDUT:ORG:00001,3
CDUT:PERSON:00005,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00006,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00007,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00008,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00009,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00010,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00011,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00012,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00013,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00014,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00015,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00016,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00017,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00018,alumni_of,校友,CDUT:ORG:00001,3
CDUT:PERSON:00019,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00020,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00021,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00022,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00023,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00024,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00025,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00026,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00027,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00028,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00029,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00030,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00031,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00032,member_of,任职,CDUT:ORG:00001,3
CDUT:PERSON:00033,member_of,任职,CDUT:ORG:00002,2
CDUT:PERSON:00034,member_of,任职,CDUT:ORG:00026,2
CDUT:PERSON:00035,member_of,任职,CDUT:PROJ:00001,2
CDUT:PERSON:00036,holds_position,担任,CDUT:PLACE:00003,2
CDUT:PERSON:00037,holds_position,担任,CDUT:PLACE:00005,2
CDUT:PERSON:00038,holds_position,担任,CDUT:ORG:00030,2
CDUT:PERSON:00039,alumni_of,校友,CDUT:ORG:00001,2
CDUT:PERSON:00040,member_of,任职,CDUT:PLACE:00004,2
CDUT:PERSON:00041,member_of,任职,CDUT:RU:00016,2
CDUT:PERSON:00042,member_of,任职,CDUT:ORG:00020,2
CDUT:PERSON:00043,cooperates_with,合作,CDUT:ORG:00001,2
CDUT:PERSON:00044,member_of,任职,CDUT:PUB:00006,2
CDUT:PERSON:00045,donated_to,捐赠,CDUT:ORG:00001,2
CDUT:PERSON:00046,member_of,任职,CDUT:RU:00001,2
CDUT:PERSON:00047,holds_position,担任,CDUT:PUB:00001,2
CDUT:PERSON:00048,member_of,任职,CDUT:ORG:00001,2
CDUT:PERSON:00049,member_of,任职,CDUT:ORG:00001,2
CDUT:PERSON:00050,alumni_of,校友,CDUT:ORG:00001,3
CDUT:ORG:00002,part_of,隶属,CDUT:ORG:00001,4
CDUT:ORG:00003,part_of,隶属,CDUT:ORG:00001,4
CDUT:ORG:00004,part_of,隶属,CDUT:ORG:00001,4
CDUT:ORG:00005,part_of,隶属,CDUT:ORG:00001,4
CDUT:ORG:00006,part_of,隶属,CDUT:ORG:00001,4
CDUT:ORG:00007,part_of,隶属,CDUT:ORG:00001,4
